"HomeTeam","AwayTeam","Actual","ModelPred","Confidence","ModelHome","ModelDraw","ModelAway","BookieHome","BookieDraw","BookieAway","ValueHome","ValueDraw","ValueAway","BookieMargin","OddsH","OddsD","OddsA","MaxValueGap"
"Torino","Monza","D","H",24,0.4912,0.2964,0.2121,0.4698,0.3132,0.217,0.0214,-0.0168,-0.0049,6.4,2,3,4.33,0.0214
"Napoli","Roma","H","H",25,0.4996,0.2518,0.2473,0.5475,0.2631,0.1894,-0.0479,-0.0113,0.0579,5.6,1.73,3.6,5,0.0579
"Lazio","Bologna","H","H",32,0.5496,0.2285,0.219,0.5012,0.2721,0.2267,0.0484,-0.0436,-0.0077,5,1.9,3.5,4.2,0.0484
"Empoli","Udinese","D","A",13,0.2841,0.2928,0.4227,0.3372,0.3256,0.3372,-0.0531,-0.0328,0.0855,5.9,2.8,2.9,2.8,0.0855
"Venezia","Lecce","A","H",5,0.3543,0.3258,0.3198,0.4121,0.2917,0.2962,-0.0578,0.0341,0.0236,5.5,2.3,3.25,3.2,0.0578
"Cagliari","Verona","H","H",10,0.4019,0.2639,0.3333,0.4932,0.2771,0.2298,-0.0913,-0.0132,0.1035,6.2,1.91,3.4,4.1,0.1035
"Como","Monza","D","H",31,0.542,0.2385,0.2175,0.4699,0.2892,0.241,0.0721,-0.0507,-0.0235,6.4,2,3.25,3.9,0.0721
"Milan","Empoli","H","H",49,0.6632,0.2048,0.1278,0.6957,0.1992,0.1051,-0.0325,0.0056,0.0227,5.7,1.36,4.75,9,0.0325
"Bologna","Venezia","H","H",52,0.6803,0.2058,0.1104,0.5756,0.2435,0.1809,0.1047,-0.0377,-0.0705,5.3,1.65,3.9,5.25,0.1047
"Udinese","Genoa","A","H",13,0.4215,0.2903,0.2879,0.4748,0.2878,0.2374,-0.0533,0.0025,0.0505,5.3,2,3.3,4,0.0533
"Parma","Lazio","H","A",33,0.2141,0.2265,0.5563,0.2253,0.249,0.5257,-0.0112,-0.0225,0.0306,5.7,4.2,3.8,1.8,0.0306
"Torino","Napoli","A","A",29,0.1858,0.2845,0.5292,0.1905,0.2802,0.5293,-0.0047,0.0043,-1e-04,5,5,3.4,1.8,0.0047
"Lecce","Juventus","D","A",48,0.1257,0.2198,0.6519,0.1803,0.2629,0.5568,-0.0546,-0.0431,0.0951,5.6,5.25,3.6,1.7,0.0951
"Roma","Atalanta","A","A",7,0.3644,0.2548,0.3797,0.2968,0.2714,0.4318,0.0676,-0.0166,-0.0521,5.3,3.2,3.5,2.2,0.0676
"Inter","Parma","H","H",63,0.7566,0.1412,0.0831,0.8018,0.1352,0.0631,-0.0452,0.006,0.02,5.7,1.18,7,15,0.0452
"Atalanta","Milan","H","H",15,0.4331,0.2188,0.3429,0.4379,0.2769,0.2853,-0.0048,-0.0581,0.0576,6.2,2.15,3.4,3.3,0.0581
"Genoa","Torino","D","A",6,0.3475,0.2792,0.3729,0.3788,0.3055,0.3157,-0.0313,-0.0263,0.0572,5.6,2.5,3.1,3,0.0572
"Juventus","Bologna","D","H",45,0.6351,0.2217,0.1405,0.5568,0.2629,0.1803,0.0783,-0.0412,-0.0398,5.6,1.7,3.6,5.25,0.0783
"Roma","Lecce","H","H",51,0.6744,0.2118,0.1109,0.6084,0.2388,0.1528,0.066,-0.027,-0.0419,4.7,1.57,4,6.25,0.066
"Fiorentina","Cagliari","H","H",49,0.6571,0.2074,0.1315,0.6316,0.2105,0.1579,0.0255,-0.0031,-0.0264,5.6,1.5,4.5,6,0.0264
"Verona","Empoli","A","A",5,0.3629,0.2711,0.3654,0.3616,0.3458,0.2926,0.0013,-0.0747,0.0728,5.2,2.63,2.75,3.25,0.0747
"Venezia","Como","D","A",15,0.2719,0.2921,0.4357,0.3459,0.2882,0.3659,-0.074,0.0039,0.0698,5.1,2.75,3.3,2.6,0.074
"Napoli","Lazio","A","H",19,0.4626,0.2515,0.2846,0.5006,0.2797,0.2197,-0.038,-0.0282,0.0649,5.1,1.9,3.4,4.33,0.0649
"Monza","Udinese","A","A",10,0.316,0.2854,0.3982,0.3524,0.3172,0.3304,-0.0364,-0.0318,0.0678,5.1,2.7,3,2.88,0.0678
"Empoli","Torino","A","A",21,0.2438,0.2836,0.4722,0.3524,0.3304,0.3172,-0.1086,-0.0468,0.155,5.1,2.7,2.88,3,0.155
"Cagliari","Atalanta","A","A",52,0.1346,0.1753,0.6785,0.1719,0.2183,0.6098,-0.0373,-0.043,0.0687,5.8,5.5,4.33,1.55,0.0687
"Udinese","Napoli","A","A",44,0.1498,0.2214,0.626,0.1807,0.271,0.5483,-0.0309,-0.0496,0.0777,5.4,5.25,3.5,1.73,0.0777
"Juventus","Venezia","D","H",63,0.7537,0.1727,0.0679,0.7184,0.1779,0.1038,0.0353,-0.0052,-0.0359,7.1,1.3,5.25,9,0.0359
"Lecce","Monza","H","A",6,0.3268,0.2971,0.3758,0.3873,0.3163,0.2965,-0.0605,-0.0192,0.0793,5.4,2.45,3,3.2,0.0793
"Bologna","Fiorentina","H","H",19,0.4594,0.2646,0.2752,0.3505,0.3053,0.3442,0.1089,-0.0407,-0.069,5.7,2.7,3.1,2.75,0.1089
"Parma","Verona","A","H",7,0.3824,0.2729,0.3442,0.5113,0.2522,0.2365,-0.1289,0.0207,0.1077,5.7,1.85,3.75,4,0.1289
"Como","Roma","H","A",12,0.335,0.2537,0.4101,0.2913,0.2784,0.4303,0.0437,-0.0247,-0.0202,5.6,3.25,3.4,2.2,0.0437
"Milan","Genoa","D","H",46,0.6371,0.2278,0.1329,0.7044,0.1785,0.1171,-0.0673,0.0493,0.0158,6.7,1.33,5.25,8,0.0673
"Lazio","Inter","A","A",32,0.2213,0.2311,0.5449,0.265,0.2806,0.4543,-0.0437,-0.0495,0.0906,4.8,3.6,3.4,2.1,0.0906
"Verona","Milan","A","A",45,0.1651,0.1937,0.6333,0.1711,0.2295,0.5994,-0.006,-0.0358,0.0339,6.3,5.5,4.1,1.57,0.0358
"Torino","Bologna","A","H",10,0.397,0.2996,0.3031,0.287,0.3265,0.3865,0.11,-0.0269,-0.0834,5.6,3.3,2.9,2.45,0.11
"Genoa","Napoli","A","A",43,0.151,0.2263,0.6202,0.1803,0.2629,0.5568,-0.0293,-0.0366,0.0634,5.6,5.25,3.6,1.7,0.0634
"Lecce","Lazio","A","A",45,0.1468,0.2194,0.6308,0.1894,0.2631,0.5475,-0.0426,-0.0437,0.0833,5.6,5,3.6,1.73,0.0833
"Roma","Parma","H","H",53,0.6868,0.1816,0.1233,0.6215,0.2264,0.1521,0.0653,-0.0448,-0.0288,5.2,1.53,4.2,6.25,0.0653
"Venezia","Cagliari","H","H",9,0.3925,0.3055,0.3018,0.3809,0.2885,0.3306,0.0116,0.017,-0.0288,5,2.5,3.3,2.88,0.0288
"Atalanta","Empoli","H","H",50,0.6658,0.1841,0.1411,0.7397,0.1735,0.0868,-0.0739,0.0106,0.0543,4.8,1.29,5.5,11,0.0739
"Monza","Juventus","A","A",40,0.1588,0.2367,0.6026,0.1521,0.2716,0.5762,0.0067,-0.0349,0.0264,5.2,6.25,3.5,1.65,0.0349
"Fiorentina","Udinese","A","H",36,0.5713,0.2329,0.1935,0.5925,0.2495,0.158,-0.0212,-0.0166,0.0355,5.5,1.6,3.8,6,0.0355
"Inter","Como","H","H",52,0.6775,0.193,0.1237,0.7908,0.146,0.0633,-0.1133,0.047,0.0604,5.4,1.2,6.5,15,0.1133
"Empoli","Genoa","A","A",6,0.3071,0.318,0.3747,0.3701,0.3254,0.3044,-0.063,-0.0074,0.0703,6,2.55,2.9,3.1,0.0703
"Parma","Monza","H","H",16,0.44,0.2644,0.2948,0.4126,0.2711,0.3163,0.0274,-0.0067,-0.0215,5.4,2.3,3.5,3,0.0274
"Cagliari","Inter","A","A",61,0.0946,0.1516,0.7378,0.1453,0.1988,0.6559,-0.0507,-0.0472,0.0819,5.9,6.5,4.75,1.44,0.0819
"Lazio","Atalanta","D","A",20,0.2904,0.2395,0.468,0.3165,0.2878,0.3957,-0.0261,-0.0483,0.0723,5.3,3,3.3,2.4,0.0723
"Udinese","Torino","D","A",6,0.3484,0.2751,0.376,0.4222,0.3064,0.2714,-0.0738,-0.0313,0.1046,5.3,2.25,3.1,3.5,0.1046
"Napoli","Venezia","H","H",60,0.7324,0.1739,0.0867,0.7427,0.1715,0.0858,-0.0103,0.0024,9e-04,6,1.27,5.5,11,0.0103
"Juventus","Fiorentina","D","H",34,0.5625,0.2523,0.184,0.4866,0.2875,0.2259,0.0759,-0.0352,-0.0419,5.4,1.95,3.3,4.2,0.0759
"Milan","Roma","D","H",26,0.505,0.2553,0.2385,0.4229,0.2798,0.2973,0.0821,-0.0245,-0.0588,5.1,2.25,3.4,3.2,0.0821
"Como","Lecce","H","H",26,0.509,0.2653,0.2249,0.5557,0.2553,0.1889,-0.0467,0.01,0.036,5.9,1.7,3.7,5,0.0467
"Bologna","Verona","A","H",37,0.5784,0.2454,0.1747,0.6329,0.2315,0.1356,-0.0545,0.0139,0.0391,5.3,1.5,4.1,7,0.0545
"Venezia","Empoli","D","A",5,0.3462,0.2956,0.3579,0.4135,0.3068,0.2797,-0.0673,-0.0112,0.0782,5.1,2.3,3.1,3.4,0.0782
"Fiorentina","Napoli","A","A",21,0.2673,0.2606,0.4712,0.3316,0.2939,0.3745,-0.0643,-0.0333,0.0967,4.7,2.88,3.25,2.55,0.0967
"Verona","Udinese","D","A",11,0.3244,0.2694,0.4055,0.3148,0.3148,0.3704,0.0096,-0.0454,0.0351,5.9,3,3,2.55,0.0454
"Monza","Cagliari","A","H",10,0.4004,0.2965,0.3029,0.3939,0.2909,0.3152,0.0065,0.0056,-0.0123,5.8,2.4,3.25,3,0.0123
"Lecce","Genoa","D","A",10,0.2869,0.3112,0.4018,0.3593,0.3149,0.3258,-0.0724,-0.0037,0.076,5.8,2.63,3,2.9,0.076
"Torino","Parma","D","H",19,0.4605,0.2846,0.2545,0.5114,0.2783,0.2103,-0.0509,0.0063,0.0442,5.7,1.85,3.4,4.5,0.0509
"Roma","Lazio","H","H",23,0.4889,0.2476,0.2619,0.3742,0.3078,0.318,0.1147,-0.0602,-0.0561,4.8,2.55,3.1,3,0.1147
"Lazio","Como","D","H",29,0.5279,0.2452,0.2252,0.4972,0.2779,0.2249,0.0307,-0.0327,3e-04,5.9,1.9,3.4,4.2,0.0327
"Empoli","Lecce","A","A",5,0.3274,0.3288,0.3437,0.4746,0.3062,0.2192,-0.1472,0.0226,0.1245,5.4,2,3.1,4.33,0.1472
"Udinese","Atalanta","D","A",45,0.1562,0.2037,0.6349,0.1797,0.2483,0.5719,-0.0235,-0.0446,0.063,6,5.25,3.8,1.65,0.063
"Torino","Juventus","D","A",17,0.2493,0.3058,0.4446,0.1873,0.2926,0.5202,0.062,0.0132,-0.0756,6.8,5,3.2,1.8,0.0756
"Milan","Cagliari","D","H",55,0.7024,0.1918,0.101,0.7112,0.1892,0.0996,-0.0088,0.0026,0.0014,5.7,1.33,5,9.5,0.0088
"Genoa","Parma","H","H",15,0.4315,0.2594,0.308,0.4943,0.2697,0.236,-0.0628,-0.0103,0.072,5.9,1.91,3.5,4,0.072
"Venezia","Inter","A","A",62,0.0804,0.1659,0.7455,0.086,0.1803,0.7337,-0.0056,-0.0144,0.0118,5.7,11,5.25,1.29,0.0144
"Bologna","Roma","D","H",16,0.4418,0.2692,0.2883,0.3388,0.2964,0.3648,0.103,-0.0272,-0.0765,5.4,2.8,3.2,2.6,0.103
"Napoli","Verona","H","H",45,0.636,0.2175,0.1434,0.7556,0.1717,0.0727,-0.1196,0.0458,0.0707,5.9,1.25,5.5,13,0.1196
"Monza","Fiorentina","H","A",27,0.2273,0.2588,0.5129,0.2237,0.2684,0.5079,0.0036,-0.0096,0.005,6.4,4.2,3.5,1.85,0.0096
"Como","Milan","A","A",25,0.2749,0.2221,0.4988,0.2267,0.2721,0.5012,0.0482,-0.05,-0.0024,5,4.2,3.5,1.9,0.05
"Atalanta","Juventus","D","H",9,0.3953,0.2471,0.356,0.4517,0.2919,0.2564,-0.0564,-0.0448,0.0996,5.4,2.1,3.25,3.7,0.0996
"Inter","Bologna","D","H",55,0.7004,0.1741,0.1157,0.6395,0.2253,0.1352,0.0609,-0.0512,-0.0195,5.7,1.48,4.2,7,0.0609
"Roma","Genoa","H","H",49,0.6574,0.2154,0.1243,0.6263,0.2291,0.1445,0.0311,-0.0137,-0.0202,6.4,1.5,4.1,6.5,0.0311
"Bologna","Monza","H","H",45,0.6358,0.2203,0.1411,0.5906,0.252,0.1575,0.0452,-0.0317,-0.0164,5.8,1.6,3.75,6,0.0452
"Juventus","Milan","H","H",26,0.5055,0.2493,0.2437,0.4379,0.2853,0.2769,0.0676,-0.036,-0.0332,6.2,2.15,3.3,3.4,0.0676
