"HomeTeam","AwayTeam","Actual","ModelPred","Confidence","ModelHome","ModelDraw","ModelAway","BookieHome","BookieDraw","BookieAway","ValueHome","ValueDraw","ValueAway","BookieMargin","OddsH","OddsD","OddsA","MaxValueGap"
"Como","Inter","A","A",50,0.138,0.1867,0.6673,0.1915,0.228,0.5804,-0.0535,-0.0413,0.0869,4.4,5,4.2,1.65,0.0869
"Napoli","Cagliari","H","H",55,0.701,0.1894,0.1043,0.7865,0.1348,0.0787,-0.0855,0.0546,0.0256,6,1.2,7,12,0.0855
"Bologna","Genoa","A","H",37,0.5783,0.2537,0.1669,0.6316,0.2105,0.1579,-0.0533,0.0432,0.009,5.6,1.5,4.5,6,0.0533
"Milan","Monza","H","H",54,0.6932,0.1925,0.1092,0.7781,0.1356,0.0863,-0.0849,0.0569,0.0229,5.3,1.22,7,11,0.0849
"Atalanta","Parma","A","H",50,0.6646,0.1747,0.1473,0.5405,0.2703,0.1892,0.1241,-0.0956,-0.0419,5.7,1.75,3.5,5,0.1241
"Empoli","Verona","A","A",9,0.3007,0.3038,0.3953,0.4855,0.2959,0.2186,-0.1848,0.0079,0.1767,5.6,1.95,3.2,4.33,0.1848
"Lazio","Lecce","A","H",42,0.6166,0.2322,0.1491,0.6182,0.2556,0.1261,-0.0016,-0.0234,0.023,5.7,1.53,3.7,7.5,0.0234
"Torino","Roma","A","A",6,0.318,0.3081,0.3738,0.172,0.2253,0.6027,0.146,0.0828,-0.2289,5.7,5.5,4.2,1.57,0.2289
"Udinese","Fiorentina","A","A",16,0.2973,0.2634,0.4385,0.2579,0.265,0.4771,0.0394,-0.0016,-0.0386,4.8,3.7,3.6,2,0.0394
"Venezia","Juventus","A","A",39,0.1583,0.2451,0.5952,0.1643,0.2182,0.6175,-0.006,0.0269,-0.0223,5.8,5.75,4.33,1.53,0.0269
