"Week","HomeTeam","AwayTeam","Actual","PoissonPred","EloPred","EnsemblePred","PoissonCorrect","EloCorrect","EnsembleCorrect","BothAgree","Confidence","ConfBucket"
32,"Cagliari","Cremonese","H","H","H","H",TRUE,TRUE,TRUE,TRUE,12,"0-20%"
32,"Torino","Verona","H","H","H","H",TRUE,TRUE,TRUE,TRUE,15,"0-20%"
32,"Milan","Udinese","A","H","H","H",FALSE,FALSE,FALSE,TRUE,37,"30-40%"
32,"Atalanta","Juventus","A","H","H","H",FALSE,FALSE,FALSE,TRUE,7,"0-20%"
32,"Genoa","Sassuolo","H","H","H","H",TRUE,TRUE,TRUE,TRUE,15,"0-20%"
32,"Parma","Napoli","D","A","A","A",FALSE,FALSE,FALSE,TRUE,38,"30-40%"
32,"Bologna","Lecce","H","H","H","H",TRUE,TRUE,TRUE,TRUE,35,"30-40%"
32,"Como","Inter","A","A","A","A",TRUE,TRUE,TRUE,TRUE,35,"30-40%"
32,"Fiorentina","Lazio","H","H","H","H",TRUE,TRUE,TRUE,TRUE,8,"0-20%"
33,"Sassuolo","Como","H","A","A","A",FALSE,FALSE,FALSE,TRUE,7,"0-20%"
33,"Inter","Cagliari","H","H","H","H",TRUE,TRUE,TRUE,TRUE,56,"40%+"
33,"Udinese","Parma","A","H","H","H",FALSE,FALSE,FALSE,TRUE,11,"0-20%"
33,"Napoli","Lazio","A","H","H","H",FALSE,FALSE,FALSE,TRUE,19,"0-20%"
33,"Roma","Atalanta","D","A","H","H",FALSE,FALSE,FALSE,FALSE,7,"0-20%"
33,"Cremonese","Torino","D","A","D","A",FALSE,TRUE,FALSE,FALSE,14,"0-20%"
33,"Verona","Milan","A","A","A","A",TRUE,TRUE,TRUE,TRUE,31,"30-40%"
33,"Pisa","Genoa","A","H","H","H",FALSE,FALSE,FALSE,TRUE,6,"0-20%"
33,"Juventus","Bologna","H","H","H","H",TRUE,TRUE,TRUE,TRUE,31,"30-40%"
33,"Lecce","Fiorentina","D","A","A","A",FALSE,FALSE,FALSE,TRUE,26,"20-30%"
